method,n,run_id,pi_estimate,abs_error,runtime_sec,time_per_sample_sec,samples_per_sec
numba_parallel_steady,1000000,7,3.141712,0.00011934641020694414,0.012012399998639012,1.2012399998639012e-08,83247311.12128289
numba_parallel_steady,1000000,8,3.142604,0.001011346410206837,0.011989599999651546,1.1989599999651545e-08,83405618.20486614
numba_parallel_steady,1000000,9,3.141944,0.0003513464102069541,0.01261519999752636,1.2615199997526361e-08,79269452.73924187
numba_parallel_steady,1000000,10,3.14312,0.00152734641020702,0.012857699999585748,1.2857699999585748e-08,77774407.55595621
numba_parallel_steady,10000000,1,3.1405384,0.0010542535897930527,0.0857350000005681,8.573500000056811e-09,116638479.03346051
numba_parallel_steady,10000000,2,3.1414552,0.00013745358979333488,0.08472170000095502,8.472170000095502e-09,118033514.43475845
numba_parallel_steady,10000000,3,3.141396,0.00019665358979326086,0.08237189999999828,8.237189999999829e-09,121400623.27080241
numba_parallel_steady,10000000,4,3.1419904,0.0003977464102069561,0.07946289999745204,7.946289999745204e-09,125844891.1419121
numba_parallel_steady,10000000,5,3.1416352,4.254641020695615e-05,0.08129530000223895,8.129530000223894e-09,123008341.19222872
numba_parallel_steady,10000000,6,3.1419148,0.0003221464102067806,0.08564939999996568,8.564939999996569e-09,116755050.2397449
numba_parallel_steady,10000000,7,3.141636,4.334641020697916e-05,0.07960019999882206,7.960019999882206e-09,125627825.057575
numba_parallel_steady,10000000,8,3.1422632,0.000670546410206807,0.07704269999885582,7.704269999885582e-09,129798150.89747
numba_parallel_steady,10000000,9,3.1423524,0.0007597464102069296,0.08583880000151112,8.583880000151112e-09,116497434.72443649
numba_parallel_steady,10000000,10,3.1419244,0.00033174641020705664,0.0825055000022985,8.25055000022985e-09,121204040.93934843
numba_parallel_steady,100000000,1,3.14179896,0.00020630641020691343,0.6787511999973503,6.787511999973503e-09,147329389.6208071
numba_parallel_steady,100000000,2,3.14171252,0.00011986641020689248,0.6332384000015736,6.332384000015736e-09,157918407.97991955
numba_parallel_steady,100000000,3,3.14178756,0.00019490641020691868,0.618659600000683,6.18659600000683e-09,161639777.35072663
numba_parallel_steady,100000000,4,3.1416982,0.00010554641020688038,0.6278719999972964,6.278719999972964e-09,159268131.08472842
numba_parallel_steady,100000000,5,3.14175612,0.000163466410207036,0.8049859999991895,8.049859999991895e-09,124225762.93264812
numba_parallel_steady,100000000,6,3.14128892,0.00030373358979307596,1.4087127999991935,1.4087127999991935e-08,70986790.210224
numba_parallel_steady,100000000,7,3.1414244,0.00016825358979311034,1.053393700000015,1.053393700000015e-08,94931268.33775309
numba_parallel_steady,100000000,8,3.14151876,7.389358979326133e-05,1.047845099998085,1.047845099998085e-08,95433952.97662102
numba_parallel_steady,100000000,9,3.14129772,0.000294933589793267,0.9118730000009236,9.118730000009237e-09,109664394.0547628
numba_parallel_steady,100000000,10,3.14149456,9.809358979318006e-05,0.785253100002592,7.852531000025919e-09,127347475.60967276
numba_parallel_steady,1000000000,1,3.141631428,3.877441020705419e-05,7.059853599999769,7.05985359999977e-09,141645996.73852056
numba_parallel_steady,1000000000,2,3.14155784,3.4813589793181166e-05,7.587561400003324,7.587561400003324e-09,131794650.12297125
numba_parallel_steady,1000000000,3,3.141655388,6.273441020709924e-05,7.393421199998556,7.3934211999985564e-09,135255380.82426512
numba_parallel_steady,1000000000,4,3.141639248,4.659441020704591e-05,7.040876999999455,7.0408769999994545e-09,142027761.5984596
numba_parallel_steady,1000000000,5,3.141580576,1.2077589793157983e-05,7.158930900000996,7.158930900000996e-09,139685661.72357675
numba_parallel_steady,1000000000,6,3.141515488,7.71655897930934e-05,7.1684526999997615,7.168452699999761e-09,139500118.34493005
numba_parallel_steady,1000000000,7,3.141590544,2.109589793075628e-06,7.658690399999614,7.658690399999614e-09,130570626.01721704
numba_parallel_steady,1000000000,8,3.141630572,3.7918410206838615e-05,7.15766000000076,7.1576600000007605e-09,139710464.0343204
numba_parallel_steady,1000000000,9,3.141639732,4.707841020668013e-05,6.671852400002535,6.6718524000025355e-09,149883411.68932635
numba_parallel_steady,1000000000,10,3.141506836,8.581758979309129e-05,7.172572299998137,7.172572299998137e-09,139419995.8082346
